Country of Giftor,contract,monetary_gift,real_estate,total
BOSNIA-HERCEGOVINA,0.0,118892.0,0.0,118892.0
CROATIA,0.0,26.0,0.0,26.0
CURAçAO,0.0,2049606.0,0.0,2049606.0
EL SALVADOR,0.0,2275000.0,0.0,2275000.0
ERITREA,0.0,3.0,0.0,3.0
GUAM,0.0,436500.0,0.0,436500.0
GUERNSEY,0.0,1000000.0,0.0,1000000.0
ICELAND,0.0,50.0,0.0,50.0
IRAN,0.0,80.0,0.0,80.0
ISLE OF MAN,0.0,4000000.0,0.0,4000000.0
JAMAICA,0.0,18225.0,0.0,18225.0
JERSEY,0.0,17882533.0,0.0,17882533.0
LATVIA,0.0,50.0,0.0,50.0
LESOTHO,0.0,848646.0,0.0,848646.0
LIBERIA,0.0,1170.0,0.0,1170.0
LITHUANIA,0.0,2149946.0,0.0,2149946.0
MADAGASCAR,0.0,1176.0,0.0,1176.0
MALI,0.0,16960.0,0.0,16960.0
MARSHAL ISLANDS (THE),0.0,1041666.0,0.0,1041666.0
MAURITIUS,0.0,825000.0,0.0,825000.0
MOZAMBIQUE,0.0,1071482.0,0.0,1071482.0
NAMIBIA,0.0,216470.0,0.0,216470.0
NEPAL,0.0,27744.0,0.0,27744.0
"PALESTINE, STATE OF",0.0,1050000.0,0.0,1050000.0
PUERTO RICO,0.0,1516786.0,0.0,1516786.0
ROMANIA,0.0,440000.0,0.0,440000.0
SENEGAL,0.0,80065.0,0.0,80065.0
SERBIA,0.0,352630.0,0.0,352630.0
SLOVAKIA,0.0,20.0,0.0,20.0
SLOVENIA,0.0,115.0,0.0,115.0
ST. LUCIA,0.0,50.0,0.0,50.0
SYRIAN ARAB REPUBLIC,0.0,1364702.0,0.0,1364702.0
TOKELAU,0.0,6000.0,0.0,6000.0
VIRGIN ISLANDS (BRITISH),0.0,6720000.0,0.0,6720000.0
